       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -200           -150           -100     -0.0053061     0.00669091    -0.00509129              0              0              0
         -196           -150           -100    -0.00544258     0.00672892    -0.00513044              0              0              0
         -192           -150           -100    -0.00557907     0.00676694    -0.00516958              0              0              0
         -188           -150           -100    -0.00571555     0.00680495    -0.00520873              0              0              0
         -184           -150           -100    -0.00585203     0.00684297    -0.00524787              0              0              0
         -180           -150           -100    -0.00598852     0.00688098    -0.00528701              0              0              0
         -176           -150           -100    -0.00612047     0.00694961    -0.00536345              0              0              0
         -172           -150           -100    -0.00625123     0.00702625    -0.00544965              0              0              0
         -168           -150           -100      -0.006382     0.00710288    -0.00553585              0              0              0
         -164           -150           -100    -0.00651276     0.00717952    -0.00562205              0              0              0
         -160           -150           -100    -0.00664352     0.00725616    -0.00570825              0              0              0
         -156           -150           -100     -0.0067649     0.00733314    -0.00580357              0              0              0
         -152           -150           -100    -0.00687962     0.00741038    -0.00590534              0              0              0
         -148           -150           -100    -0.00699434     0.00748761    -0.00600711              0              0              0
         -144           -150           -100    -0.00710906     0.00756484    -0.00610889              0              0              0
         -140           -150           -100    -0.00722378     0.00764208    -0.00621066              0              0              0
         -136           -150           -100    -0.00732817     0.00771899    -0.00631793              0              0              0
         -132           -150           -100    -0.00741553     0.00779539    -0.00643426              0              0              0
         -128           -150           -100    -0.00750289     0.00787179    -0.00655058              0              0              0
         -124           -150           -100    -0.00759025     0.00794818    -0.00666691              0              0              0
         -120           -150           -100    -0.00767761     0.00802458    -0.00678324              0              0              0
         -116           -150           -100    -0.00775828     0.00810054    -0.00690166              0              0              0
         -112           -150           -100    -0.00780629     0.00817439    -0.00703031              0              0              0
         -108           -150           -100    -0.00785431     0.00824823    -0.00715897              0              0              0
         -104           -150           -100    -0.00790232     0.00832208    -0.00728762              0              0              0
         -100           -150           -100    -0.00795034     0.00839592    -0.00741627              0              0              0
          -96           -150           -100    -0.00799835     0.00846977    -0.00754493              0              0              0
          -92           -150           -100    -0.00799714     0.00853944    -0.00768179              0              0              0
          -88           -150           -100    -0.00799403     0.00860896    -0.00781898              0              0              0
          -84           -150           -100    -0.00799091     0.00867847    -0.00795616              0              0              0
          -80           -150           -100    -0.00798779     0.00874798    -0.00809335              0              0              0
          -76           -150           -100    -0.00798467     0.00881749    -0.00823054              0              0              0
          -72           -150           -100    -0.00793531     0.00888249    -0.00836994              0              0              0
          -68           -150           -100    -0.00787095     0.00894603    -0.00851006              0              0              0
          -64           -150           -100    -0.00780659     0.00900956    -0.00865018              0              0              0
          -60           -150           -100    -0.00774223      0.0090731     -0.0087903              0              0              0
          -56           -150           -100    -0.00767787     0.00913663    -0.00893042              0              0              0
          -52           -150           -100    -0.00757814     0.00919638    -0.00906845              0              0              0
          -48           -150           -100    -0.00744919     0.00925301    -0.00920474              0              0              0
          -44           -150           -100    -0.00732025     0.00930963    -0.00934103              0              0              0
          -40           -150           -100     -0.0071913     0.00936625    -0.00947732              0              0              0
          -36           -150           -100    -0.00706236     0.00942287    -0.00961361              0              0              0
          -32           -150           -100    -0.00688966     0.00947435    -0.00974295              0              0              0
          -28           -150           -100    -0.00670741      0.0095247    -0.00987076              0              0              0
          -24           -150           -100    -0.00652516     0.00957505    -0.00999857              0              0              0
          -20           -150           -100    -0.00632319     0.00962282     -0.0101211              0              0              0
          -16           -150           -100    -0.00609844      0.0096676     -0.0102374              0              0              0
          -12           -150           -100    -0.00587369     0.00971237     -0.0103538              0              0              0
           -8           -150           -100    -0.00564479     0.00975653     -0.0104685              0              0              0
           -4           -150           -100    -0.00538122      0.0097955     -0.0105699              0              0              0
            0           -150           -100    -0.00511766     0.00983448     -0.0106713              0              0              0
            4           -150           -100    -0.00485409     0.00987345     -0.0107727              0              0              0
            8           -150           -100    -0.00457496     0.00990965     -0.0108661              0              0              0
           12           -150           -100    -0.00428256     0.00994336     -0.0109521              0              0              0
           16           -150           -100    -0.00398126     0.00997526     -0.0110322              0              0              0
           20           -150           -100    -0.00367215      0.0100054     -0.0111067              0              0              0
           24           -150           -100    -0.00335527      0.0100337     -0.0111747              0              0              0
           28           -150           -100    -0.00303119        0.01006      -0.011236              0              0              0
           32           -150           -100    -0.00270115      0.0100844      -0.011291              0              0              0
           36           -150           -100    -0.00236589       0.010107     -0.0113394              0              0              0
           40           -150           -100    -0.00202603      0.0101277     -0.0113812              0              0              0
           44           -150           -100    -0.00168191      0.0101463     -0.0114153              0              0              0
           48           -150           -100    -0.00133496       0.010163     -0.0114428              0              0              0
           52           -150           -100    -0.00098582      0.0101777     -0.0114636              0              0              0
           56           -150           -100    -0.00063506      0.0101903     -0.0114768              0              0              0
           60           -150           -100   -0.000283661      0.0102009     -0.0114827              0              0              0
           64           -150           -100    6.75644e-05      0.0102094     -0.0114818              0              0              0
           68           -150           -100    0.000417877      0.0102158      -0.011474              0              0              0
           72           -150           -100    0.000766549      0.0102202     -0.0114593              0              0              0
           76           -150           -100     0.00111281      0.0102225     -0.0114378              0              0              0
           80           -150           -100     0.00145557      0.0102224     -0.0114089              0              0              0
           84           -150           -100     0.00179441      0.0102202     -0.0113734              0              0              0
           88           -150           -100     0.00212866      0.0102158     -0.0113316              0              0              0
           92           -150           -100     0.00245781      0.0102092     -0.0112836              0              0              0
           96           -150           -100      0.0027812      0.0102005     -0.0112295              0              0              0
          100           -150           -100     0.00309723      0.0101892     -0.0111687              0              0              0
          104           -150           -100     0.00340636      0.0101758     -0.0111023              0              0              0
          108           -150           -100     0.00370814      0.0101601     -0.0110306              0              0              0
          112           -150           -100     0.00400171      0.0101421     -0.0109535              0              0              0
          116           -150           -100     0.00428592      0.0101215     -0.0108708              0              0              0
          120           -150           -100     0.00456156      0.0100988     -0.0107835              0              0              0
          124           -150           -100     0.00482822      0.0100738     -0.0106918              0              0              0
