       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -500           -150           -100    -0.00906716       0.008514    -0.00281154              0              0              0
         -495           -150           -100    -0.00928259     0.00870213    -0.00289341              0              0              0
         -490           -150           -100    -0.00950006     0.00889303    -0.00297705              0              0              0
         -485           -150           -100    -0.00972147      0.0090893    -0.00306417              0              0              0
         -480           -150           -100    -0.00994527     0.00928883    -0.00315348              0              0              0
         -475           -150           -100     -0.0101711     0.00949115    -0.00324467              0              0              0
         -470           -150           -100     -0.0104011     0.00969913     -0.0033398              0              0              0
         -465           -150           -100     -0.0106333     0.00991011     -0.0034371              0              0              0
         -460           -150           -100     -0.0108675      0.0101239    -0.00353646              0              0              0
         -455           -150           -100      -0.011106      0.0103435    -0.00364014              0              0              0
         -450           -150           -100     -0.0113464       0.010566    -0.00374605              0              0              0
         -445           -150           -100     -0.0115891      0.0107914    -0.00385429              0              0              0
         -440           -150           -100     -0.0118357      0.0110224    -0.00396711              0              0              0
         -435           -150           -100     -0.0120843      0.0112562    -0.00408233              0              0              0
         -430           -150           -100      -0.012335       0.011493    -0.00420011              0              0              0
         -425           -150           -100     -0.0125894      0.0117353    -0.00432278              0              0              0
         -420           -150           -100     -0.0128457      0.0119802    -0.00444793              0              0              0
         -415           -150           -100     -0.0131042      0.0122284    -0.00457624              0              0              0
         -410           -150           -100     -0.0133657      0.0124812    -0.00470902              0              0              0
         -405           -150           -100     -0.0136296      0.0127375    -0.00484553              0              0              0
         -400           -150           -100     -0.0138954       0.012997    -0.00498551              0              0              0
         -395           -150           -100     -0.0141634      0.0132598    -0.00512915              0              0              0
         -390           -150           -100     -0.0144338      0.0135268     -0.0052778              0              0              0
         -385           -150           -100     -0.0147056      0.0137961    -0.00542919              0              0              0
         -380           -150           -100     -0.0149797      0.0140696    -0.00558592              0              0              0
         -375           -150           -100     -0.0152554      0.0143462    -0.00574699              0              0              0
         -370           -150           -100     -0.0155322       0.014625    -0.00591099              0              0              0
         -365           -150           -100      -0.015811      0.0149085    -0.00608198              0              0              0
         -360           -150           -100     -0.0160907       0.015194    -0.00625619              0              0              0
         -355           -150           -100     -0.0163713      0.0154823    -0.00643505              0              0              0
         -350           -150           -100     -0.0166529      0.0157739    -0.00661965              0              0              0
         -345           -150           -100      -0.016935      0.0160684    -0.00680979              0              0              0
