       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
          -50           -150           -100    -0.00481937      0.0563846              0              0              0              0
          -48           -150           -100    -0.00479736      0.0563669              0              0              0              0
          -46           -150           -100    -0.00477535      0.0563491              0              0              0              0
          -44           -150           -100    -0.00475334      0.0563314              0              0              0              0
          -42           -150           -100    -0.00473132      0.0563137              0              0              0              0
          -40           -150           -100    -0.00459977      0.0562876              0              0              0              0
          -38           -150           -100     -0.0044368      0.0562592              0              0              0              0
          -36           -150           -100    -0.00427384      0.0562307              0              0              0              0
          -34           -150           -100    -0.00411087      0.0562023              0              0              0              0
          -32           -150           -100     -0.0039479      0.0561739              0              0              0              0
          -30           -150           -100    -0.00378494      0.0561454              0              0              0              0
          -28           -150           -100    -0.00362197       0.056117              0              0              0              0
          -26           -150           -100    -0.00345901      0.0560885              0              0              0              0
          -24           -150           -100    -0.00329604      0.0560601              0              0              0              0
          -22           -150           -100    -0.00313307      0.0560317              0              0              0              0
          -20           -150           -100    -0.00293775          0.056              0              0              0              0
          -18           -150           -100    -0.00268898       0.055963              0              0              0              0
          -16           -150           -100    -0.00244021       0.055926              0              0              0              0
          -14           -150           -100    -0.00218493      0.0558883              0              0              0              0
          -12           -150           -100    -0.00189955      0.0558468              0              0              0              0
          -10           -150           -100    -0.00161417      0.0558053              0              0              0              0
           -8           -150           -100     -0.0013247      0.0557632              0              0              0              0
           -6           -150           -100    -0.00100902      0.0557175              0              0              0              0
           -4           -150           -100   -0.000693332      0.0556717              0              0              0              0
           -2           -150           -100   -0.000365918       0.055624              0              0              0              0
            0           -150           -100   -2.49175e-05      0.0555742              0              0              0              0
            2           -150           -100    0.000316083      0.0555243              0              0              0              0
            4           -150           -100    0.000674484      0.0554712              0              0              0              0
            6           -150           -100     0.00103747      0.0554172              0              0              0              0
            8           -150           -100     0.00140266      0.0553627              0              0              0              0
           10           -150           -100     0.00178406      0.0553045              0              0              0              0
           12           -150           -100     0.00216546      0.0552464              0              0              0              0
           14           -150           -100     0.00255346      0.0551864              0              0              0              0
           16           -150           -100     0.00294958      0.0551242              0              0              0              0
           18           -150           -100      0.0033457       0.055062              0              0              0              0
           20           -150           -100     0.00375029      0.0549967              0              0              0              0
           22           -150           -100     0.00415732      0.0549305              0              0              0              0
           24           -150           -100     0.00456498      0.0548639              0              0              0              0
