       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -200           -150           -100    -0.00912912       0.012732    -0.00901799              0              0              0
         -195           -150           -100    -0.00961353      0.0128252    -0.00912771              0              0              0
         -190           -150           -100     -0.0100979      0.0129185    -0.00923742              0              0              0
         -185           -150           -100     -0.0105824      0.0130117    -0.00934713              0              0              0
         -180           -150           -100     -0.0110668      0.0131049    -0.00945685              0              0              0
         -175           -150           -100     -0.0115512      0.0131981    -0.00956656              0              0              0
         -170           -150           -100     -0.0120292      0.0133797    -0.00980714              0              0              0
         -165           -150           -100     -0.0125062      0.0135762     -0.0100696              0              0              0
         -160           -150           -100     -0.0129832      0.0137726     -0.0103321              0              0              0
         -155           -150           -100     -0.0134602       0.013969     -0.0105945              0              0              0
         -150           -150           -100     -0.0139372      0.0141655      -0.010857              0              0              0
         -145           -150           -100     -0.0143819      0.0143747     -0.0111842              0              0              0
         -140           -150           -100     -0.0148136      0.0145892     -0.0115375              0              0              0
         -135           -150           -100     -0.0152453      0.0148036     -0.0118908              0              0              0
         -130           -150           -100      -0.015677      0.0150181      -0.012244              0              0              0
         -125           -150           -100     -0.0161087      0.0152325     -0.0125973              0              0              0
         -120           -150           -100     -0.0164833      0.0154544     -0.0130063              0              0              0
         -115           -150           -100      -0.016815      0.0156818     -0.0134572              0              0              0
         -110           -150           -100     -0.0171467      0.0159092     -0.0139081              0              0              0
         -105           -150           -100     -0.0174784      0.0161366     -0.0143591              0              0              0
         -100           -150           -100       -0.01781       0.016364       -0.01481              0              0              0
          -95           -150           -100      -0.018067      0.0165938     -0.0153009              0              0              0
          -90           -150           -100     -0.0182237      0.0168269     -0.0158454              0              0              0
          -85           -150           -100     -0.0183804      0.0170599     -0.0163899              0              0              0
          -80           -150           -100     -0.0185371      0.0172929     -0.0169345              0              0              0
          -75           -150           -100     -0.0186938       0.017526      -0.017479              0              0              0
          -70           -150           -100     -0.0187794      0.0177578     -0.0180416              0              0              0
          -65           -150           -100     -0.0186855      0.0179868     -0.0186499              0              0              0
          -60           -150           -100     -0.0185915      0.0182157     -0.0192581              0              0              0
          -55           -150           -100     -0.0184976      0.0184447     -0.0198664              0              0              0
          -50           -150           -100     -0.0184036      0.0186736     -0.0204746              0              0              0
          -45           -150           -100     -0.0181309      0.0188936     -0.0210912              0              0              0
          -40           -150           -100     -0.0177715      0.0191091     -0.0217119              0              0              0
          -35           -150           -100     -0.0174121      0.0193247     -0.0223325              0              0              0
          -30           -150           -100     -0.0170242      0.0195377     -0.0229484              0              0              0
          -25           -150           -100     -0.0164187      0.0197308     -0.0235285              0              0              0
          -20           -150           -100     -0.0158132      0.0199238     -0.0241085              0              0              0
          -15           -150           -100     -0.0152078      0.0201169     -0.0246886              0              0              0
          -10           -150           -100     -0.0144747      0.0202915     -0.0252179              0              0              0
           -5           -150           -100     -0.0136406      0.0204515     -0.0257071              0              0              0
