       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
------------------------------------------------------------------------------------------------------------------------------------------
         -200           -150           -100    -0.00314607     0.00401211    -0.00317228              0              0              0
         -196           -150           -100    -0.00322511     0.00403482    -0.00319774              0              0              0
         -192           -150           -100    -0.00330414     0.00405753     -0.0032232              0              0              0
         -188           -150           -100    -0.00338317     0.00408024    -0.00324866              0              0              0
         -184           -150           -100    -0.00346221     0.00410295    -0.00327411              0              0              0
         -180           -150           -100    -0.00354124     0.00412565    -0.00329957              0              0              0
         -176           -150           -100    -0.00361802      0.0041617    -0.00334307              0              0              0
         -172           -150           -100    -0.00369314     0.00420749    -0.00339976              0              0              0
         -168           -150           -100    -0.00376826     0.00425327    -0.00345645              0              0              0
         -164           -150           -100    -0.00384338     0.00429906    -0.00351313              0              0              0
         -160           -150           -100    -0.00391851     0.00434485    -0.00356982              0              0              0
         -156           -150           -100      -0.003992     0.00439069    -0.00362827              0              0              0
         -152           -150           -100    -0.00405663     0.00443681    -0.00369632              0              0              0
         -148           -150           -100    -0.00412127     0.00448293    -0.00376437              0              0              0
         -144           -150           -100     -0.0041859     0.00452904    -0.00383241              0              0              0
         -140           -150           -100    -0.00425053     0.00457516    -0.00390046              0              0              0
         -136           -150           -100    -0.00431517     0.00462128    -0.00396851              0              0              0
         -132           -150           -100    -0.00436684     0.00466695    -0.00404432              0              0              0
         -128           -150           -100    -0.00441379     0.00471245    -0.00412295              0              0              0
         -124           -150           -100    -0.00446075     0.00475795    -0.00420158              0              0              0
         -120           -150           -100    -0.00450771     0.00480345    -0.00428021              0              0              0
         -116           -150           -100    -0.00455466     0.00484896    -0.00435885              0              0              0
         -112           -150           -100    -0.00459377     0.00489392    -0.00444023              0              0              0
         -108           -150           -100    -0.00461549     0.00493768     -0.0045277              0              0              0
         -104           -150           -100    -0.00463722     0.00498145    -0.00461516              0              0              0
         -100           -150           -100    -0.00465895     0.00502521    -0.00470263              0              0              0
          -96           -150           -100    -0.00468067     0.00506897     -0.0047901              0              0              0
          -92           -150           -100     -0.0047024     0.00511274    -0.00487757              0              0              0
          -88           -150           -100    -0.00469525     0.00515392     -0.0049702              0              0              0
          -84           -150           -100    -0.00468448     0.00519479    -0.00506348              0              0              0
          -80           -150           -100    -0.00467371     0.00523566    -0.00515676              0              0              0
          -76           -150           -100    -0.00466295     0.00527652    -0.00525004              0              0              0
          -72           -150           -100    -0.00465218     0.00531739    -0.00534332              0              0              0
          -68           -150           -100     -0.0046235     0.00535641    -0.00543723              0              0              0
          -64           -150           -100    -0.00457433     0.00539333    -0.00553185              0              0              0
          -60           -150           -100    -0.00452516     0.00543024    -0.00562647              0              0              0
          -56           -150           -100    -0.00447599     0.00546716     -0.0057211              0              0              0
          -52           -150           -100    -0.00442682     0.00550407    -0.00581572              0              0              0
          -48           -150           -100    -0.00437588     0.00554078    -0.00591016              0              0              0
          -44           -150           -100     -0.0042869     0.00557314    -0.00600081              0              0              0
          -40           -150           -100    -0.00419791      0.0056055    -0.00609145              0              0              0
          -36           -150           -100    -0.00410893     0.00563786    -0.00618209              0              0              0
          -32           -150           -100    -0.00401994     0.00567021    -0.00627273              0              0              0
          -28           -150           -100    -0.00392834     0.00570224    -0.00636279              0              0              0
          -24           -150           -100    -0.00381008     0.00573084    -0.00644697              0              0              0
          -20           -150           -100    -0.00369182     0.00575945    -0.00653115              0              0              0
          -16           -150           -100    -0.00356736     0.00578717    -0.00661314              0              0              0
          -12           -150           -100    -0.00342908      0.0058129    -0.00669024              0              0              0
           -8           -150           -100     -0.0032908     0.00583863    -0.00676734              0              0              0
